id,track_id,track_artist,artist_clean,track_name,track_name_clean,artist_track_key,energy,tempo,danceability,playlist_genre,loudness,liveness,valence,time_signature,speechiness,track_popularity,track_href,uri,track_album_name,track_album_release_date,instrumentalness,track_album_id,mode,key,duration_ms,acousticness,type
5xeSd4HgzrYpNLEf3LfYLK,5xeSd4HgzrYpNLEf3LfYLK,"glorilla, sexyy red",glorilla sexyy red,whatchu kno about me (feat. sexyy red),whatchu kno about me feat sexyy red,glorilla sexyy red_whatchu kno about me feat sexyy red,0.684,166.976,0.832,hip-hop,-4.691,0.229,0.68,4,0.359,78,https://api.spotify.com/v1/tracks/5xeSd4HgzrYpNLEf3LfYLK,spotify:track:5xeSd4HgzrYpNLEf3LfYLK,GLORIOUS,2024-10-11T00:00:00Z,0,4dUAojdnh5Bcho1n8bPSO0,1,1,149461,0.00449,audio_features
6afQ4fJDJ9QqU5BKIH99Ej,6afQ4fJDJ9QqU5BKIH99Ej,lil baby,lil baby,insecurities,insecurities,lil baby_insecurities,0.642,111.907,0.65,hip-hop,-5.332,0.0855,0.186,4,0.04,70,https://api.spotify.com/v1/tracks/6afQ4fJDJ9QqU5BKIH99Ej,spotify:track:6afQ4fJDJ9QqU5BKIH99Ej,Insecurities,2024-11-15T00:00:00Z,0,2g28Q65tnnBD8TaCAFpdQi,1,2,127154,0.00502,audio_features
76Ku9OBFK1NjMylR8r4WLK,76Ku9OBFK1NjMylR8r4WLK,nle choppa,nle choppa,gang baby,gang baby,nle choppa_gang baby,0.699,129.054,0.92,hip-hop,-6.635,0.0745,0.484,4,0.358,72,https://api.spotify.com/v1/tracks/76Ku9OBFK1NjMylR8r4WLK,spotify:track:76Ku9OBFK1NjMylR8r4WLK,SLUT SZN,2024-09-27T00:00:00Z,0,1oA2UN6nt7jhEuVtiCeCke,1,11,138180,0.00768,audio_features
2c7z5oRcPBbqRaBY2mLWcf,2c7z5oRcPBbqRaBY2mLWcf,don toliver,don toliver,new drop,new drop,don toliver_new drop,0.628,119.98,0.757,hip-hop,-6.715,0.221,0.321,4,0.101,85,https://api.spotify.com/v1/tracks/2c7z5oRcPBbqRaBY2mLWcf,spotify:track:2c7z5oRcPBbqRaBY2mLWcf,HARDSTONE PSYCHO,2024-06-14T00:00:00Z,0.0209,0Kzb3u6kMnOJOZXYFSk33F,0,4,217333,0.189,audio_features
487JCvAXVblflZyDJn3fSp,487JCvAXVblflZyDJn3fSp,real boston richey,real boston richey,help me,help me,real boston richey_help me,0.709,78.53,0.749,hip-hop,-6.385,0.329,0.564,4,0.259,73,https://api.spotify.com/v1/tracks/487JCvAXVblflZyDJn3fSp,spotify:track:487JCvAXVblflZyDJn3fSp,Help Me,2024-05-31T00:00:00Z,0,01JuX8fEX5ACudymzCB3O3,1,6,181166,0.155,audio_features
1560osUcXrnov6yuOjXvc1,1560osUcXrnov6yuOjXvc1,drake,drake,no face,no face,drake_no face,0.69,125.951,0.853,hip-hop,-5.858,0.0835,0.471,4,0.0647,78,https://api.spotify.com/v1/tracks/1560osUcXrnov6yuOjXvc1,spotify:track:1560osUcXrnov6yuOjXvc1,No Face,2024-08-31T00:00:00Z,0,78NIQe42qKXahAeZAb3w0h,1,10,137143,0.0771,audio_features
3aCPResPDNae3pXTocGpYe,3aCPResPDNae3pXTocGpYe,future,future,lil demon,lil demon,future_lil demon,0.754,131.001,0.863,hip-hop,-5.851,0.0913,0.301,4,0.0611,77,https://api.spotify.com/v1/tracks/3aCPResPDNae3pXTocGpYe,spotify:track:3aCPResPDNae3pXTocGpYe,MIXTAPE PLUTO,2024-09-20T00:00:00Z,0,4Zoxsc06EUHRf5GrJPJZ54,1,11,139197,0.00125,audio_features
62oLxos6R04SVYL1lXidvu,62oLxos6R04SVYL1lXidvu,"luh tyler, bossman dlow",luh tyler bossman dlow,2 slippery (feat. bossman dlow),2 slippery feat bossman dlow,luh tyler bossman dlow_2 slippery feat bossman dlow,0.4,106.682,0.608,hip-hop,-9.519,0.119,0.089,5,0.32,69,https://api.spotify.com/v1/tracks/62oLxos6R04SVYL1lXidvu,spotify:track:62oLxos6R04SVYL1lXidvu,Mr. Skii,2024-08-22T00:00:00Z,3.27E-4,4XqpSvwcjnoR5YP5lBLuTi,1,1,159228,0.029,audio_features
4lwfqyQXSDJ7kELpMErMih,4lwfqyQXSDJ7kELpMErMih,"lil yachty, veeze",lil yachty veeze,sorry not sorry,sorry not sorry,lil yachty veeze_sorry not sorry,0.509,157.94,0.662,hip-hop,-9.159,0.266,0.549,4,0.322,70,https://api.spotify.com/v1/tracks/4lwfqyQXSDJ7kELpMErMih,spotify:track:4lwfqyQXSDJ7kELpMErMih,Sorry Not Sorry,2024-08-16T00:00:00Z,0,2Wu6YPeXdwiyqV5YulLf1W,1,1,136709,0.247,audio_features
2cZOYofOX4d6g0OXxkaIjA,2cZOYofOX4d6g0OXxkaIjA,playboi carti,playboi carti,all red,all red,playboi carti_all red,0.663,143.082,0.76,hip-hop,-4.763,0.305,0.209,4,0.0551,81,https://api.spotify.com/v1/tracks/2cZOYofOX4d6g0OXxkaIjA,spotify:track:2cZOYofOX4d6g0OXxkaIjA,ALL RED,2024-09-13T00:00:00Z,0,3cdcIcidzGHVQW5e9qQgtx,0,9,148053,0.109,audio_features
